Order,LeftD,RightD,Target,correctresp,Lag
1,FEAR,,Z,z,1
2,FEAR,,X,x,1
3,FEAR,,N,n,1
4,FEAR,,M,m,1
5,FEAR,,Z,z,2
6,FEAR,,X,x,2
7,FEAR,,N,n,2
8,FEAR,,M,m,2
9,FEAR,,Z,z,3
10,FEAR,,X,x,3
11,FEAR,,N,n,3
12,FEAR,,M,m,3
13,FEAR,,Z,z,4
14,FEAR,,X,x,4
15,FEAR,,N,n,4
16,FEAR,,M,m,4
17,,FEAR,Z,z,1
18,,FEAR,X,x,1
19,,FEAR,N,n,1
20,,FEAR,M,m,1
21,,FEAR,Z,z,2
22,,FEAR,X,x,2
23,,FEAR,N,n,2
24,,FEAR,M,m,2
25,,FEAR,Z,z,3
26,,FEAR,X,x,3
27,,FEAR,N,n,3
28,,FEAR,M,m,3
29,,FEAR,Z,z,4
30,,FEAR,X,x,4
31,,FEAR,N,n,4
32,,FEAR,M,m,4
33,NEUTRAL,,Z,z,1
34,NEUTRAL,,X,x,1
35,NEUTRAL,,N,n,1
36,NEUTRAL,,M,m,1
37,NEUTRAL,,Z,z,2
38,NEUTRAL,,X,x,2
39,NEUTRAL,,N,n,2
40,NEUTRAL,,M,m,2
41,NEUTRAL,,Z,z,3
42,NEUTRAL,,X,x,3
43,NEUTRAL,,N,n,3
44,NEUTRAL,,M,m,3
45,NEUTRAL,,Z,z,4
46,NEUTRAL,,X,x,4
47,NEUTRAL,,N,n,4
48,NEUTRAL,,M,m,4
49,,NEUTRAL,Z,z,1
50,,NEUTRAL,X,x,1
51,,NEUTRAL,N,n,1
52,,NEUTRAL,M,m,1
53,,NEUTRAL,Z,z,2
54,,NEUTRAL,X,x,2
55,,NEUTRAL,N,n,2
56,,NEUTRAL,M,m,2
57,,NEUTRAL,Z,z,3
58,,NEUTRAL,X,x,3
59,,NEUTRAL,N,n,3
60,,NEUTRAL,M,m,3
61,,NEUTRAL,Z,z,4
62,,NEUTRAL,X,x,4
63,,NEUTRAL,N,n,4
64,,NEUTRAL,M,m,4
65,,,Z,z,
66,,,X,x,
67,,,N,n,
68,,,M,m,
69,,,Z,z,
70,,,X,x,
71,,,N,n,
72,,,M,m,
73,,,Z,z,
74,,,X,x,
75,,,N,n,
76,,,M,m,
77,,,Z,z,
78,,,X,x,
79,,,N,n,
80,,,M,m,
81,,,Z,z,
82,,,X,x,
83,,,N,n,
84,,,M,m,
85,,,Z,z,
86,,,X,x,
87,,,N,n,
88,,,M,m,
89,,,Z,z,
90,,,X,x,
91,,,N,n,
92,,,M,m,
93,,,Z,z,
94,,,X,x,
95,,,N,n,
96,,,M,m,
